class_index,label,unicode,precision,recall,f1,support,correct
0,0,48,0.5882352941176471,0.4,0.4761904761904762,50,20
1,1,49,0.5652173913043478,0.52,0.5416666666666667,50,26
2,2,50,0.7254901960784313,0.74,0.7326732673267328,50,37
3,3,51,0.9090909090909091,1.0,0.9523809523809523,50,50
4,4,52,0.8571428571428571,0.84,0.8484848484848485,50,42
5,5,53,0.8333333333333334,0.8,0.816326530612245,50,40
6,6,54,0.9166666666666666,0.88,0.8979591836734694,50,44
7,7,55,0.8727272727272727,0.96,0.9142857142857144,50,48
8,8,56,0.7916666666666666,0.76,0.7755102040816326,50,38
9,9,57,0.6229508196721312,0.76,0.6846846846846847,50,38
10,A,65,0.8518518518518519,0.92,0.8846153846153846,50,46
11,B,66,0.8363636363636363,0.92,0.8761904761904761,50,46
12,C,67,0.8653846153846154,0.9,0.8823529411764707,50,45
13,D,68,0.8936170212765957,0.84,0.8659793814432989,50,42
14,E,69,0.92,0.92,0.92,50,46
15,F,70,0.6571428571428571,0.46,0.5411764705882354,50,23
16,G,71,1.0,0.88,0.9361702127659575,50,44
17,H,72,0.8823529411764706,0.9,0.8910891089108911,50,45
18,I,73,0.5,0.64,0.5614035087719298,50,32
19,J,74,0.926829268292683,0.76,0.8351648351648352,50,38
20,K,75,0.9777777777777777,0.88,0.9263157894736842,50,44
21,L,76,0.5116279069767442,0.44,0.4731182795698925,50,22
22,M,77,0.9375,0.9,0.9183673469387755,50,45
23,N,78,0.8166666666666667,0.98,0.890909090909091,50,49
24,O,79,0.5263157894736842,0.8,0.6349206349206348,50,40
25,P,80,0.9361702127659575,0.88,0.9072164948453608,50,44
26,Q,81,0.9534883720930233,0.82,0.8817204301075269,50,41
27,R,82,0.9038461538461539,0.94,0.9215686274509804,50,47
28,S,83,0.8363636363636363,0.92,0.8761904761904761,50,46
29,T,84,0.9375,0.9,0.9183673469387755,50,45
30,U,85,0.8979591836734694,0.88,0.888888888888889,50,44
31,V,86,0.8823529411764706,0.9,0.8910891089108911,50,45
32,W,87,0.9574468085106383,0.9,0.9278350515463918,50,45
33,X,88,0.8867924528301887,0.94,0.912621359223301,50,47
34,Y,89,0.8372093023255814,0.72,0.7741935483870969,50,36
35,Z,90,0.8666666666666667,0.78,0.8210526315789474,50,39
36,a,97,0.7169811320754716,0.76,0.7378640776699028,50,38
37,b,98,0.8846153846153846,0.92,0.9019607843137256,50,46
38,d,100,0.9591836734693877,0.94,0.9494949494949495,50,47
39,e,101,0.86,0.86,0.8599999999999999,50,43
40,f,102,0.53125,0.68,0.5964912280701754,50,34
41,g,103,0.48717948717948717,0.38,0.4269662921348315,50,19
42,h,104,1.0,0.9,0.9473684210526316,50,45
43,n,110,0.8958333333333334,0.86,0.8775510204081632,50,43
44,q,113,0.49056603773584906,0.52,0.5048543689320388,50,26
45,r,114,0.9230769230769231,0.96,0.9411764705882353,50,48
46,t,116,0.8269230769230769,0.86,0.8431372549019608,50,43
