class_index,label,unicode,base_train_count,feedback_count,final_train_count,validation_count,test_count
0,0,48,400,0,400,50,50
1,1,49,400,0,400,50,50
2,2,50,400,0,400,50,50
3,3,51,400,0,400,50,50
4,4,52,400,0,400,50,50
5,5,53,400,0,400,50,50
6,6,54,400,0,400,50,50
7,7,55,400,0,400,50,50
8,8,56,400,0,400,50,50
9,9,57,400,0,400,50,50
10,A,65,400,0,400,50,50
11,B,66,400,0,400,50,50
12,C,67,400,0,400,50,50
13,D,68,400,0,400,50,50
14,E,69,400,0,400,50,50
15,F,70,400,0,400,50,50
16,G,71,400,0,400,50,50
17,H,72,400,0,400,50,50
18,I,73,400,0,400,50,50
19,J,74,400,0,400,50,50
20,K,75,400,0,400,50,50
21,L,76,400,0,400,50,50
22,M,77,400,0,400,50,50
23,N,78,400,0,400,50,50
24,O,79,400,0,400,50,50
25,P,80,400,0,400,50,50
26,Q,81,400,0,400,50,50
27,R,82,400,0,400,50,50
28,S,83,400,0,400,50,50
29,T,84,400,0,400,50,50
30,U,85,400,0,400,50,50
31,V,86,400,0,400,50,50
32,W,87,400,0,400,50,50
33,X,88,400,0,400,50,50
34,Y,89,400,0,400,50,50
35,Z,90,400,0,400,50,50
36,a,97,400,0,400,50,50
37,b,98,400,0,400,50,50
38,d,100,400,0,400,50,50
39,e,101,400,0,400,50,50
40,f,102,400,0,400,50,50
41,g,103,400,0,400,50,50
42,h,104,400,0,400,50,50
43,n,110,400,0,400,50,50
44,q,113,400,0,400,50,50
45,r,114,400,0,400,50,50
46,t,116,400,0,400,50,50
