true_label,predicted_label,count,rate_within_true_class
0,O,12,0.5714285714285714
f,F,11,0.5238095238095238
I,1,8,0.38095238095238093
L,1,8,0.38095238095238093
2,Z,7,0.3333333333333333
5,S,6,0.2857142857142857
F,f,6,0.2857142857142857
1,L,5,0.23809523809523808
9,q,5,0.23809523809523808
q,9,5,0.23809523809523808
L,I,4,0.19047619047619047
g,8,4,0.19047619047619047
g,q,4,0.19047619047619047
4,Y,3,0.14285714285714285
9,g,3,0.14285714285714285
T,7,3,0.14285714285714285
W,V,3,0.14285714285714285
n,A,3,0.14285714285714285
t,4,3,0.14285714285714285
0,D,2,0.09523809523809523
2,a,2,0.09523809523809523
6,b,2,0.09523809523809523
8,P,2,0.09523809523809523
9,F,2,0.09523809523809523
A,n,2,0.09523809523809523
C,0,2,0.09523809523809523
D,O,2,0.09523809523809523
D,g,2,0.09523809523809523
E,F,2,0.09523809523809523
G,6,2,0.09523809523809523
